Ticker,Price Change (%),RS Score,Color
PSL,9.523809523809534,84,Green
PSL_f,-32.97297297297297,4,Red
PSTCm,-8.510638297872342,26,Red
PT,11.570247933884303,86,Green
PTCm,-0.7407407407407418,51,Red
PTECH,-7.659574468085106,28,Red
PTG,1.3986013986013957,61,Yellow
PTL,11.72566371681416,87,Green
PTT,-2.9197080291970767,42,Red
PTTEP,3.8235294117647145,71,Yellow
PTTEP_f,12.881355932203387,88,Green
PTTGC,15.243902439024382,90,Green
PTTGC_f,0.5319148936170137,56,Red
PTT_f,-15.723270440251568,13,Red
PYLON,3.7209302325581506,70,Yellow
Q-CON,101.94174757281553,98,Green
QH,8.490566037735835,82,Green
QHOPu,22.807017543859654,95,Green
QH_f,0.9090909090909038,59,Red
QLTm,-8.3969465648855,26,Red
QTC,-1.6597510373444035,47,Red
RABBIT,-16.455696202531644,11,Red
RAM,-6.926406926406925,30,Red
RATCH,8.917197452229297,83,Green
RATCH_f,156.94444444444446,99,Green
RBF,9.322033898305083,83,Green
RCL,5.128205128205132,75,Yellow
RICHY,-5.88235294117646,33,Red
RJH,-9.701492537313428,23,Red
RML,7.042253521126773,80,Green
ROCK,-4.1666666666666625,38,Red
ROCTEC,-7.272727272727275,29,Red
ROH,5.4545454545454675,76,Yellow
ROJNA,13.636363636363647,89,Green
RPC,-6.796116504854377,30,Red
RPH,-1.6260162601626105,47,Red
RPm,-9.600000000000009,23,Red
RS,5.263157894736836,75,Yellow
RSP,-7.692307692307699,27,Red
RSXYZ,57.725321888412,98,Green
RT,-11.46496815286625,19,Red
RWIm,-17.757009345794394,11,Red
S,1.6483516483516425,62,Yellow
S11,2.0408163265306145,64,Yellow
SA,-4.046242774566466,38,Red
SAAMm,2.205882352941191,65,Yellow
SABINA,-12.075471698113205,18,Red
SABUY,-5.833333333333323,33,Red
SAFARI,-39.69849246231156,2,Red
SAK,-9.629629629629633,23,Red
SALEEm,-9.523809523809534,23,Red
SAM,-7.407407407407418,28,Red
SAMART,-5.128205128205121,35,Red
SAMCO,-3.401360544217691,40,Red
SAMTEL,2.9850746268656803,68,Yellow
SANKOm,-3.90625,39,Red
SAPPE,3.5087719298245723,70,Yellow
SAT,6.060606060606055,77,Yellow
SAUCE,1.7543859649122862,63,Yellow
SAWAD,20.370370370370374,94,Green
SAWANG,25.233644859813097,96,Green
SC,13.440860215053752,89,Green
SCAP,-1.83486238532109,46,Red
SCB,1.904761904761898,63,Yellow
SCB_f,-1.834862385321101,46,Red
SCC,7.547169811320753,81,Green
SCCC,1.655629139072845,62,Yellow
SCCC_f,12.5,88,Green
SCC_f,-12.299465240641716,18,Red
SCG,-0.8196721311475419,50,Red
SCGP,9.615384615384626,84,Green
SCI,-22.413793103448263,7,Red
SCM,-22.602739726027387,7,Red
